amp,motor_temp,ambient_temp,vib_x,vib_y,vib_z,timestamp,motor_id,operating_hours,status
0.0,28.71,31.49,0.993,-0.506,0.763,2026-04-01 18:15:00,MTR-03,2775,Normal
0.068,28.8,31.54,-0.496,-0.542,0.665,2026-04-01 18:20:00,MTR-03,3727,Normal
0.0,28.46,31.49,-2.0,-0.442,1.202,2026-04-01 18:25:00,MTR-03,3302,Normal
0.207,28.83,31.64,2.0,1.161,1.254,2026-04-01 18:30:00,MTR-03,3893,Normal
0.007,27.99,31.4,2.0,0.557,0.699,2026-04-01 18:35:00,MTR-01,2134,Normal
0.068,28.37,31.59,0.414,-0.502,0.802,2026-04-01 18:40:00,MTR-02,3955,Normal
0.081,28.58,31.54,-2.0,-0.93,0.26,2026-04-01 18:45:00,MTR-03,2842,Normal
0.09,28.26,31.59,-2.0,-0.925,0.237,2026-04-01 18:50:00,MTR-03,4125,Normal
0.033,29.08,31.54,-2.0,-0.017,1.562,2026-04-01 18:55:00,MTR-01,3092,Normal
0.081,28.51,31.59,1.929,1.331,1.617,2026-04-01 19:00:00,MTR-03,4909,Normal
0.085,29.05,31.59,1.553,1.307,1.714,2026-04-01 19:05:00,MTR-01,1493,Normal
0.0,28.94,31.64,2.0,0.053,0.422,2026-04-01 19:10:00,MTR-02,3290,Normal
0.0,29.19,31.59,0.236,-0.492,0.783,2026-04-01 19:15:00,MTR-02,4265,Normal
0.0,28.49,31.54,0.798,-0.484,0.8,2026-04-01 19:20:00,MTR-02,3552,Normal
0.0,28.67,31.68,-2.0,-0.825,0.241,2026-04-01 19:25:00,MTR-01,2988,Normal
0.011,28.99,31.59,-1.717,-0.745,0.327,2026-04-01 19:30:00,MTR-03,1071,Normal
0.0,30.34,31.64,-2.0,-0.861,0.618,2026-04-01 19:35:00,MTR-01,1004,Normal
0.02,28.83,31.49,-2.0,-0.034,1.541,2026-04-01 19:40:00,MTR-01,4566,Normal
0.177,28.56,31.54,-2.0,-0.596,1.053,2026-04-01 19:45:00,MTR-03,1655,Normal
0.0,28.99,31.59,-0.944,0.626,1.812,2026-04-01 19:50:00,MTR-03,2816,Normal
0.0,29.01,31.68,2.0,1.295,1.536,2026-04-01 19:55:00,MTR-01,4190,Normal
0.0,29.47,31.73,1.12,1.227,1.792,2026-04-01 20:00:00,MTR-02,3679,Normal
0.024,28.71,31.68,2.0,0.886,0.947,2026-04-01 20:05:00,MTR-02,1723,Normal
0.111,28.62,31.64,2.0,-0.201,0.396,2026-04-01 20:10:00,MTR-01,4451,Normal
0.0,28.22,31.68,2.0,0.458,0.595,2026-04-01 20:15:00,MTR-02,4495,Normal
0.042,28.92,31.68,2.0,-0.384,0.539,2026-04-01 20:20:00,MTR-01,2041,Normal
0.037,29.92,31.73,0.283,-0.459,0.796,2026-04-01 20:25:00,MTR-03,1060,Normal
0.037,29.67,31.68,2.0,-0.335,0.473,2026-04-01 20:30:00,MTR-03,1572,Normal
0.085,28.99,31.73,0.663,-0.458,0.814,2026-04-01 20:35:00,MTR-01,2666,Normal
0.0,29.19,31.78,-1.307,-0.597,0.462,2026-04-01 20:40:00,MTR-02,1941,Normal
0.077,29.69,31.87,0.8,-0.458,0.789,2026-04-01 20:45:00,MTR-01,1168,Normal
0.09,28.78,31.73,-0.68,-0.484,0.656,2026-04-01 20:50:00,MTR-02,4528,Normal
0.077,28.74,31.78,-1.763,-0.705,0.296,2026-04-01 20:55:00,MTR-02,1873,Normal
0.12,28.94,31.73,0.405,-0.433,0.808,2026-04-01 21:00:00,MTR-02,4582,Normal
0.0,28.83,31.78,-0.953,-0.518,0.569,2026-04-01 21:05:00,MTR-02,4427,Normal
0.024,29.31,31.78,1.604,-0.385,0.655,2026-04-01 21:10:00,MTR-02,1841,Normal
0.111,29.79,31.82,0.087,-0.421,0.793,2026-04-01 21:15:00,MTR-01,3101,Normal
0.081,29.31,31.78,-1.335,-0.586,0.429,2026-04-01 21:20:00,MTR-03,1104,Normal
0.037,28.69,31.87,0.869,-0.397,0.8,2026-04-01 21:25:00,MTR-03,1012,Normal
0.0,29.15,31.78,-0.986,-0.508,0.562,2026-04-01 21:30:00,MTR-01,3172,Normal
0.081,28.94,31.78,-1.968,-0.769,0.221,2026-04-01 21:35:00,MTR-01,1142,Normal
0.142,27.52,31.82,0.043,-0.408,0.777,2026-04-01 21:40:00,MTR-02,3928,Normal
0.0,29.05,31.78,-1.216,-0.554,0.474,2026-04-01 21:45:00,MTR-02,3906,Normal
0.0,28.65,31.82,-1.982,-0.778,0.228,2026-04-01 21:50:00,MTR-01,3551,Normal
0.033,28.13,31.87,0.068,-0.421,0.782,2026-04-01 21:55:00,MTR-03,3241,Normal
0.011,29.19,31.87,-1.252,-0.56,0.463,2026-04-01 22:00:00,MTR-02,3016,Normal
0.229,28.96,31.82,-1.749,-0.703,0.302,2026-04-01 22:05:00,MTR-03,1988,Normal
0.024,29.37,31.97,1.201,-0.366,0.761,2026-04-01 22:10:00,MTR-01,3800,Normal
0.068,29.51,31.92,0.316,-0.419,0.803,2026-04-01 22:15:00,MTR-03,1305,Normal
0.146,30.75,31.82,-0.618,-0.457,0.648,2026-04-01 22:20:00,MTR-02,1861,Normal
0.22,29.15,31.97,2.0,-0.147,0.421,2026-04-01 22:25:00,MTR-02,4449,Normal
0.042,29.05,32.01,2.0,-0.216,0.456,2026-04-01 22:30:00,MTR-01,3787,Normal
0.129,28.6,31.87,1.861,-0.304,0.573,2026-04-01 22:35:00,MTR-03,2867,Normal
0.042,30.02,31.92,2.0,1.077,1.071,2026-04-01 22:40:00,MTR-01,4156,Normal
0.199,29.67,31.82,2.0,1.034,1.024,2026-04-01 22:45:00,MTR-01,3940,Normal
0.124,28.94,31.97,2.0,1.012,0.998,2026-04-01 22:50:00,MTR-03,4793,Normal
0.0,29.05,32.01,-0.677,0.506,1.788,2026-04-01 22:55:00,MTR-01,2760,Normal
0.124,29.08,31.87,-0.565,0.536,1.81,2026-04-01 23:00:00,MTR-03,1107,Normal
0.0,28.58,31.97,-2.0,-0.86,0.804,2026-04-01 23:05:00,MTR-02,2879,Normal
0.05,29.15,31.82,-2.0,-0.847,0.837,2026-04-01 23:10:00,MTR-01,4013,Normal
0.081,29.44,32.06,-2.0,-0.856,0.809,2026-04-01 23:15:00,MTR-03,2520,Normal
0.098,30.27,31.87,-1.47,-0.578,0.41,2026-04-01 23:20:00,MTR-01,2167,Normal
0.0,29.15,32.01,-1.727,-0.674,0.302,2026-04-01 23:25:00,MTR-03,3843,Normal
0.107,29.9,31.87,-1.472,-0.589,0.391,2026-04-01 23:30:00,MTR-01,3156,Normal
0.0,27.97,31.92,2.0,-0.2,0.465,2026-04-01 23:35:00,MTR-01,4148,Normal
0.037,29.67,31.97,2.0,-0.259,0.489,2026-04-01 23:40:00,MTR-02,4022,Normal
0.068,28.33,32.01,1.677,-0.334,0.631,2026-04-01 23:45:00,MTR-03,3842,Normal
0.011,29.97,32.11,2.0,0.732,0.712,2026-04-01 23:50:00,MTR-01,2343,Normal
0.0,29.65,32.06,2.0,0.706,0.695,2026-04-01 23:55:00,MTR-02,4043,Normal
0.042,28.74,32.11,2.0,1.006,1.023,2026-04-02 00:00:00,MTR-03,3502,Normal
0.055,29.31,32.06,-1.973,-0.119,1.604,2026-04-02 00:05:00,MTR-02,4227,Normal
0.007,29.69,32.06,-2.0,-0.631,1.153,2026-04-02 00:10:00,MTR-03,3572,Normal
0.055,28.46,32.01,-2.0,-0.898,0.511,2026-04-02 00:15:00,MTR-03,4303,Normal
0.0,29.28,32.15,1.063,-0.464,0.719,2026-04-02 00:20:00,MTR-02,2748,Normal
0.068,29.95,32.11,2.0,-0.315,0.445,2026-04-02 00:25:00,MTR-02,1216,Normal
0.011,29.53,32.11,2.0,0.191,0.429,2026-04-02 00:30:00,MTR-02,4551,Normal
0.077,29.24,32.06,-1.041,0.485,1.812,2026-04-02 00:35:00,MTR-03,3203,Normal
0.016,29.67,32.11,-2.0,-0.311,1.419,2026-04-02 00:40:00,MTR-01,4226,Normal
0.0,29.56,32.06,-2.0,-0.81,0.686,2026-04-02 00:45:00,MTR-02,2895,Normal
0.059,31.66,32.06,0.881,-0.481,0.73,2026-04-02 00:50:00,MTR-02,2279,Normal
0.029,32.06,32.11,2.0,-0.382,0.443,2026-04-02 00:55:00,MTR-03,4259,Normal
0.0,29.81,32.15,2.0,0.234,0.458,2026-04-02 01:00:00,MTR-01,3939,Normal
0.0,30.41,32.11,-1.717,0.173,1.709,2026-04-02 01:05:00,MTR-01,4064,Normal
0.0,30.13,32.11,-2.0,-0.747,0.781,2026-04-02 01:10:00,MTR-03,2206,Normal
0.0,29.42,32.15,-2.0,-0.787,0.195,2026-04-02 01:15:00,MTR-03,3590,Normal
0.159,29.21,32.11,2.0,0.182,0.452,2026-04-02 01:20:00,MTR-03,4922,Normal
0.059,30.04,32.15,1.966,1.302,1.65,2026-04-02 01:25:00,MTR-03,3254,Normal
0.155,29.53,32.15,-2.0,-0.891,0.321,2026-04-02 01:30:00,MTR-01,2530,Normal
0.142,29.65,32.11,-0.683,-0.531,0.629,2026-04-02 01:35:00,MTR-01,2808,Normal
0.0,29.63,32.06,2.0,-0.415,0.448,2026-04-02 01:40:00,MTR-03,2630,Normal
0.0,29.17,32.15,-0.803,0.654,1.878,2026-04-02 01:45:00,MTR-02,2416,Normal
0.0,30.41,32.2,-2.0,-0.766,0.752,2026-04-02 01:50:00,MTR-01,2954,Normal
0.077,29.72,32.15,-1.084,-0.587,0.514,2026-04-02 01:55:00,MTR-02,1779,Normal
0.081,29.53,32.2,2.0,1.278,1.599,2026-04-02 02:00:00,MTR-02,1803,Normal
0.016,30.75,32.25,-2.0,-0.12,1.553,2026-04-02 02:05:00,MTR-03,1456,Normal
0.22,29.65,32.25,-2.0,-0.824,0.19,2026-04-02 02:10:00,MTR-01,2654,Normal
0.055,29.65,32.2,2.0,0.784,0.891,2026-04-02 02:15:00,MTR-03,3703,Normal
0.129,29.15,32.15,-0.788,0.659,1.88,2026-04-02 02:20:00,MTR-03,4457,Normal
0.129,29.69,32.2,-2.0,-0.844,0.507,2026-04-02 02:25:00,MTR-02,1548,Normal
0.068,28.9,32.29,2.0,0.051,0.406,2026-04-02 02:30:00,MTR-02,3187,Normal
0.159,29.67,32.25,0.624,1.113,1.894,2026-04-02 02:35:00,MTR-03,1844,Normal
0.007,29.65,32.29,-2.0,-0.745,0.777,2026-04-02 02:40:00,MTR-02,2226,Normal
0.081,29.56,32.34,2.0,-0.109,0.34,2026-04-02 02:45:00,MTR-01,1563,Normal
0.151,29.83,32.25,0.507,1.091,1.902,2026-04-02 02:50:00,MTR-03,1715,Normal
0.0,27.18,32.29,-2.0,-0.796,0.664,2026-04-02 02:55:00,MTR-02,2450,Normal
0.0,28.76,32.34,2.0,0.278,0.506,2026-04-02 03:00:00,MTR-02,1000,Normal
0.0,29.51,32.39,-1.138,0.495,1.83,2026-04-02 03:05:00,MTR-03,1120,Normal
0.02,29.35,32.29,-2.0,-0.803,0.203,2026-04-02 03:10:00,MTR-02,3809,Normal
0.0,30.55,32.34,2.0,1.277,1.57,2026-04-02 03:15:00,MTR-01,3240,Normal
0.042,29.6,32.39,-2.0,-0.691,0.888,2026-04-02 03:20:00,MTR-02,4876,Normal
0.029,30.02,32.29,0.723,-0.5,0.724,2026-04-02 03:25:00,MTR-01,2618,Normal
0.029,29.79,32.34,-1.814,0.167,1.71,2026-04-02 03:30:00,MTR-02,1102,Normal
0.116,30.41,32.29,-1.877,-0.723,0.258,2026-04-02 03:35:00,MTR-01,3093,Normal
0.024,30.15,32.34,2.0,-0.123,0.342,2026-04-02 03:40:00,MTR-03,2997,Normal
0.0,29.76,32.25,-2.0,-0.683,0.846,2026-04-02 03:45:00,MTR-01,3231,Normal
0.007,30.02,32.29,0.119,-0.51,0.703,2026-04-02 03:50:00,MTR-01,1470,Normal
0.264,32.25,32.34,2.0,0.971,1.167,2026-04-02 03:55:00,MTR-03,1133,Normal
0.111,30.06,32.29,-2.0,-0.805,0.194,2026-04-02 04:00:00,MTR-03,4698,Normal
0.12,29.26,32.29,2.0,-0.307,0.365,2026-04-02 04:05:00,MTR-02,1279,Normal
0.024,30.06,32.34,-0.079,0.921,1.931,2026-04-02 04:10:00,MTR-03,3167,Normal
0.0,29.9,32.39,0.987,-0.498,0.685,2026-04-02 04:15:00,MTR-02,1272,Normal
0.007,30.41,32.48,1.653,1.277,1.747,2026-04-02 04:20:00,MTR-01,1357,Normal
0.081,29.95,32.44,-2.0,-0.846,0.438,2026-04-02 04:25:00,MTR-03,1358,Normal
0.085,28.22,32.48,2.0,1.133,1.324,2026-04-02 04:30:00,MTR-01,4549,Normal
0.0,30.08,32.44,-2.0,-0.663,0.925,2026-04-02 04:35:00,MTR-01,2707,Normal
0.072,29.88,32.44,2.0,0.749,0.916,2026-04-02 04:40:00,MTR-01,3134,Normal
0.0,30.25,32.58,-2.0,-0.646,0.967,2026-04-02 04:45:00,MTR-02,1115,Normal
0.0,30.2,32.44,1.977,-0.431,0.487,2026-04-02 04:50:00,MTR-03,4509,Normal
0.068,30.52,32.34,-2.0,-0.863,0.374,2026-04-02 04:55:00,MTR-01,4175,Normal
0.0,29.69,32.48,2.0,0.106,0.424,2026-04-02 05:00:00,MTR-02,4672,Normal
0.042,28.8,32.44,-2.0,-0.38,1.332,2026-04-02 05:05:00,MTR-02,2618,Normal
0.098,31.88,32.53,2.0,0.812,0.952,2026-04-02 05:10:00,MTR-02,1460,Normal
0.0,30.15,32.48,-2.0,-0.799,0.632,2026-04-02 05:15:00,MTR-02,1553,Normal
0.024,29.58,32.53,2.0,-0.289,0.35,2026-04-02 05:20:00,MTR-01,4541,Normal
0.007,31.57,32.53,-2.0,-0.831,0.227,2026-04-02 05:25:00,MTR-03,2444,Normal
0.05,30.06,32.44,2.0,0.319,0.556,2026-04-02 05:30:00,MTR-01,4696,Normal
0.0,30.04,32.53,-2.0,-0.506,1.178,2026-04-02 05:35:00,MTR-03,3677,Normal
0.0,30.13,32.48,2.0,0.89,1.049,2026-04-02 05:40:00,MTR-01,1172,Normal
0.164,30.87,32.53,-2.0,-0.836,0.492,2026-04-02 05:45:00,MTR-02,2586,Normal
0.0,30.08,32.53,1.409,-0.504,0.622,2026-04-02 05:50:00,MTR-02,1159,Normal
0.0,30.41,32.67,-0.895,0.627,1.892,2026-04-02 05:55:00,MTR-01,2176,Normal
0.0,29.63,32.62,-2.0,-0.736,0.759,2026-04-02 06:00:00,MTR-03,2875,Normal
0.094,28.65,32.62,-1.828,-0.7,0.262,2026-04-02 06:05:00,MTR-03,3596,Normal
0.072,30.18,32.58,2.0,0.764,0.946,2026-04-02 06:10:00,MTR-03,3682,Normal
0.094,30.85,32.53,-0.642,0.734,1.935,2026-04-02 06:15:00,MTR-03,2983,Normal
0.016,30.36,32.67,-2.0,-0.825,0.498,2026-04-02 06:20:00,MTR-03,4887,Normal
0.19,31.17,32.58,2.0,0.129,0.455,2026-04-02 06:25:00,MTR-03,2944,Normal
0.639,33.83,32.62,-0.935,0.624,1.895,2026-04-02 06:30:00,MTR-01,3201,Warning
